epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,252.208,0.9658,1.11936,1.54469,0.27634,0.69231,0.27414,0.21325,0.64661,8.89016,0.92274,0.00139508,0.00139508,0.00139508
109,254.309,1.02832,1.10936,1.46843,0.30554,0.69231,0.28321,0.22346,0.64101,9.63838,0.91881,0.00138008,0.00138008,0.00138008
110,256.679,0.97936,1.10685,1.58153,0.25705,0.69231,0.28433,0.21674,0.70032,9.56063,0.94881,0.00136508,0.00136508,0.00136508
111,258.899,0.96058,1.08539,1.41654,0.25689,0.76923,0.28871,0.21474,0.70542,10.1729,0.95849,0.00135008,0.00135008,0.00135008
112,260.855,0.92273,0.9612,1.35378,0.24289,0.69231,0.29717,0.21493,0.74257,11.4227,0.99045,0.00133508,0.00133508,0.00133508
113,263.234,0.80845,0.9854,1.37132,0.22315,0.81793,0.30014,0.22534,0.71526,11.2105,0.97668,0.00132008,0.00132008,0.00132008
114,265.446,0.89781,1.21882,1.46594,0.23937,0.61538,0.31205,0.23323,0.71224,10.6515,0.97977,0.00130508,0.00130508,0.00130508
115,267.978,0.86458,1.10405,1.45887,0.24996,0.61538,0.27019,0.19428,0.73305,9.49332,1.00225,0.00129009,0.00129009,0.00129009
116,270.413,0.81397,1.04348,1.36214,0.28776,0.61538,0.27878,0.20292,0.75488,11.2468,1.0083,0.00127509,0.00127509,0.00127509
117,272.278,0.86463,1.0687,1.50532,0.2662,0.61538,0.26736,0.19129,0.76828,18.2159,1.0166,0.00126009,0.00126009,0.00126009
118,275.025,0.92855,0.98854,1.42869,0.24949,0.61538,0.24843,0.18142,0.7531,21.6235,1.00447,0.00124509,0.00124509,0.00124509
119,277.713,0.98222,1.09219,1.57793,0.21812,0.84615,0.23412,0.17732,0.69345,22.0452,0.96184,0.00123009,0.00123009,0.00123009
120,280.17,0.9479,1.20225,1.45023,0.21859,0.84615,0.22357,0.16719,0.73747,17.8667,0.99352,0.00121509,0.00121509,0.00121509
121,282.518,0.93155,1.11415,1.57831,0.22633,0.84615,0.23797,0.16735,0.79793,13.8244,1.04585,0.00120009,0.00120009,0.00120009
122,285.101,0.88267,1.08037,1.4127,0.24909,0.61538,0.2433,0.17809,0.68407,13.1712,0.95619,0.00118509,0.00118509,0.00118509
123,287.137,0.86195,0.96017,1.30602,0.24923,0.61538,0.23509,0.16943,0.69766,10.875,0.96716,0.00117009,0.00117009,0.00117009
124,289.635,0.80779,1.15458,1.40271,0.28138,0.61538,0.23942,0.17978,0.69961,10.4331,0.96138,0.00115509,0.00115509,0.00115509
125,292.319,0.91685,0.97875,1.49433,0.2707,0.61538,0.23863,0.1807,0.71056,10.7271,0.96942,0.00114009,0.00114009,0.00114009
