Sample_ID,Bin_0,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5
0167_petal_cutout,0.17367399855468718,2.5813505942890053e-05,0.022874053834553692,0.0040091297012999905,0.07799088125726385,0.7214261231462524
0168_petal_cutout,0.28788804630957404,1.0307258195529391e-05,0.014820080366160662,0.0002529963375266305,0.0624797881108822,0.6345487816176609
0169_petal_cutout,0.06882025621076263,0.0,0.006630878673026595,9.772447808679879e-05,0.3594384682040265,0.5650126724340975
0170_petal_cutout,0.031023861581176093,0.0,0.01944518012783208,3.7764715371382946e-05,0.08229335749223358,0.8671998360833869
0171_petal_cutout,0.030365732591729606,0.0,0.040483504209613205,0.0011239731034030644,0.14125054005973492,0.7867762500355192
0172_petal_cutout,0.040247495504314716,0.0012175606346487835,0.013749815481081482,0.005500278495856971,0.14866981383230146,0.7906150360517966
0173_petal_cutout,0.1289840131569929,0.0,0.0075061970706546315,0.001166128358945861,0.12544860441277594,0.7368950570006307
0174_petal_cutout,0.0030160984253452803,0.0,0.02328882430173069,0.0011156771490050366,0.19871023710265664,0.7738691630212623
0175_petal_cutout,0.052192996926700985,0.0,0.11926677421187332,0.0018926252978971629,0.40566306630849136,0.4209845372550372
0176_petal_cutout,0.16167607735004166,0.011304476174423294,5.762578366154491e-06,0.7756248435754651,4.0992887013780816e-05,0.051347847434690015
0177_petal_cutout,0.018085348741410802,0.0,0.07709185049675187,0.0004848130497042284,0.4298305373588936,0.47450745035323955
0178_petal_cutout,0.018811746201808043,0.0,0.19033525936712,0.003775547080024665,0.3652197082343625,0.4218577391166848
0179_petal_cutout,0.1883381753207018,0.0,0.068449787871316,0.05384311476660195,0.25667604393960614,0.43269287810177415
0180_petal_cutout,0.12016809618633825,0.0,0.060080794711881755,0.018716582050637556,0.1899998770944847,0.6110346499566577
0181_petal_cutout,0.008534524251911335,0.0,0.16676572967057815,0.0005425011293659475,0.26951310613082324,0.5546441388173213
0182_petal_cutout,0.1843402171576569,0.0,0.003502204606342765,0.08603207558051139,0.053078322506907416,0.6730471801485816
0183_petal_cutout,0.04729392872867918,2.302231149763014e-07,0.32572449775388573,0.020291980465568696,0.363400165185085,0.2432891976436664
0184_petal_cutout,0.053682720768622315,0.0,0.07757189065363847,5.475169928324568e-05,0.8631022664914847,0.005588370386971278
0185_petal_cutout,0.0025642595719307685,0.0,0.3550632038873285,0.0016307064688203302,0.5956070470878831,0.045134782984037246
0186_petal_cutout,0.07519739395443238,2.120805312193146e-06,0.041508401570244255,0.6421713653108359,0.23155588640118427,0.009564831957991089
0187_petal_cutout,0.20396744659206512,0.0,0.004577822990844354,0.7914547304170906,0.0,0.0
0188_petal_cutout,0.5841736694677871,0.0,0.0,0.4158263305322129,0.0,0.0
0189_petal_cutout,0.020147163210026894,0.0,0.0811407798249367,0.00013477750307741966,0.2543188126125018,0.6442584668494572
0190_petal_cutout,0.004339544477626793,0.0,0.019064142404553275,0.0008179370722785096,0.36541062885537484,0.6103677471901666
0191_petal_cutout,0.07380023424619724,0.0017855677486254822,0.2802091803621118,0.6347807112430714,0.0,0.009424306399994031
0192_petal_cutout,0.1296245836120565,6.807133156906815e-05,0.11184239550401831,0.7495138688850335,0.0,0.008951080667322626
